39 봉천역 37.482688823384876, 126.94153108187903

40 신림역 37.484261370054625, 126.9297667683969

65 불광역 37.610654680851255, 126.92984771283913

124 송정역 37.561296654455624, 126.81138859895572 ?
130 신정역 37.52509674012167, 126.85616490036153 ?
159 강동역 37.53615267098013, 127.13220845489585

162 명일역 37.5515396388922, 127.14394962420991
172 미사역 37.56347047373951, 127.19262950305321
179 구산역 37.61125623255649, 126.91725065718897

235 학동역 37.514350257894066, 127.03160744914884

275 산성역 37.45653866128547, 127.14994043171114
278 신흥역 37.441030707406085, 127.14749921674046
279 수진역 37.43770362288557, 127.14096930280026


4개 오류
